2026-01-14 11:49:14 [WARN]: Firebase service account not configured {"service":"gps-tracker"}
2026-01-14 11:49:17 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:17 [WARN]: Redis not available, continuing without Redis caching {"service":"gps-tracker"}
2026-01-14 11:49:17 [INFO]: Redis connected successfully {"service":"gps-tracker"}
2026-01-14 11:49:17 [ERROR]: PostgreSQL connection failed: getaddrinfo ENOTFOUND db.bfzbzmwqltepdrruirya.supabase.co {"service":"gps-tracker","errno":-3008,"code":"ENOTFOUND","syscall":"getaddrinfo","hostname":"db.bfzbzmwqltepdrruirya.supabase.co","stack":"Error: getaddrinfo ENOTFOUND db.bfzbzmwqltepdrruirya.supabase.co\n    at GetAddrInfoReqWrap.onlookupall [as oncomplete] (node:dns:122:26)\n    at cachedError (C:\\Users\\gaurav sharma\\OneDrive\\Desktop\\Gps\\backend\\gps-node\\node_modules\\postgres\\cjs\\src\\query.js:170:23)\n    at new Query (C:\\Users\\gaurav sharma\\OneDrive\\Desktop\\Gps\\backend\\gps-node\\node_modules\\postgres\\cjs\\src\\query.js:36:24)\n    at PostgreSQLManager.sql (C:\\Users\\gaurav sharma\\OneDrive\\Desktop\\Gps\\backend\\gps-node\\node_modules\\postgres\\cjs\\src\\index.js:112:11)\n    at PostgreSQLManager.connect (C:\\Users\\gaurav sharma\\OneDrive\\Desktop\\Gps\\backend\\gps-node\\config\\postgresql.js:422:21)"}
2026-01-14 11:49:17 [INFO]: PostgreSQL connected successfully {"service":"gps-tracker"}
2026-01-14 11:49:17 [INFO]: GPS Tracking Server started successfully {"service":"gps-tracker","ports":{"http":"3000","gt06":5023}}
2026-01-14 11:49:17 [INFO]: HTTP Server running on port 3000 {"service":"gps-tracker"}
2026-01-14 11:49:17 [INFO]: Dashboard: http://localhost:3000 {"service":"gps-tracker"}
2026-01-14 11:49:17 [INFO]: GPS Server (GT06 Protocol) listening on port 5023 {"service":"gps-tracker"}
2026-01-14 11:49:17 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:17 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:17 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:18 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:18 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:18 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:19 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:19 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:19 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:20 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:21 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:21 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:22 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:22 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:23 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:24 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:25 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:26 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:27 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:28 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:29 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:30 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:31 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:32 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:34 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:35 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:36 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:38 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:39 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:41 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:42 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:44 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:45 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:47 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:49 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:51 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:53 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:55 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:56 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:49:58 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:50:00 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:50:02 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:50:05 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:50:07 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:50:09 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:50:11 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:50:13 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:50:15 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:50:17 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:50:19 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:50:21 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:50:23 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:50:25 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:50:27 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:50:29 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:50:31 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:50:33 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:50:35 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:50:37 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:50:39 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:50:41 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:50:43 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:50:45 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
2026-01-14 11:50:47 [WARN]: Redis connection error (continuing without Redis): {"service":"gps-tracker"}
